,initial position of a,initial position of b,initial position of c,initial velocity of a,initial velocity of b,initial velocity of c,mass of a,mass of b,mass of c,final position of a,final position of b,final position of c,final velocity of a,final velocity of b,final velocity of c
20,2.5512252655360754,0.6111671532505669,2.673239361991129,-0.7051661345457041,0.9641848187791593,-0.5465421087694193,45362982943.76707,32602541492.812996,48853201757.85318,-0.5710056711094139,1.456325244590154,-0.5703464037649868,-1.1667184625333205,-0.8442879529933638,1.0889330717217378
21,1.67598002169416,3.6113037098761818,0.6022454422570112,-0.38326824592748543,0.476702746151749,-0.38478845764661873,44609118558.66689,25761944410.802246,19786531019.964474,1.5619107423311875,-0.6505340417727934,0.12620343033105322,0.2857233371343341,-1.2368806263586267,0.3380322696401545
22,2.72493114502216,3.535424091607859,0.9198511371005363,-0.06138682307892851,0.5213663610206198,0.48223717773743546,12079259170.472754,38667849835.55668,25739866252.495636,5.550066109477576,6.430990052058345,7.6107346025183915,0.7018525883659684,-0.40367106999204444,1.5137049233062734
23,4.301223816584784,1.1608892776662139,0.07013146874888354,0.7792216027842207,0.8815613984735304,-0.6559858714260525,14184578064.28505,12769021023.91182,35668628994.39284,6.756903612069803,-1.777946641287018,-0.15953348446265064,-0.10051055340593332,-0.5172120047862311,0.19461022083819174
24,2.0835827338513937,4.377851177450006,4.119016265496645,-0.5638876852693429,-0.5492675125245399,0.8011100422866777,19204966685.748142,23433146946.764202,16621481139.367073,5.659445195570266,-0.07406619036402053,0.01585386613409998,-0.13334309712363673,0.6165607641540595,-1.3399518459877235
25,4.7511132086927255,2.356317035210746,3.677146891421667,-0.175760470188568,0.8750349690925145,0.8209006690902014,28982726453.360104,40139525885.110535,39098960242.393906,11.330248096375623,10.911922708800795,5.906339565196183,-0.11680156583261944,1.8373933337536925,-0.21077378045878875
26,0.6453115345151716,0.397797911440832,3.6746807376182415,-0.3212737010136011,0.43539801937097633,0.4764853538505358,30099320461.930145,49023645159.70992,18846411980.554718,3.6471571789790174,3.365742477948821,2.1197002295055443,-0.8042027086942269,1.013102269010816,-0.25497128592171153
27,0.6225172186869204,3.953329576605235,1.8203899567821935,-0.9827800440923722,-0.4527128772663349,0.3193134766310086,48564314959.68071,18090435179.590595,47283666340.513084,-4.336771147352176,0.1674094974374461,-0.27042977854606076,-0.8392497538698177,-1.3067620173475274,0.4986496204726912
28,4.159027336348851,3.850676203299941,1.6866126683996847,0.7067700016086478,-0.006436967239624947,-0.9612475254143087,43869023754.24077,16793262948.96625,14996265436.386692,5.573372268325441,5.3685580280425755,6.840213939938844,0.17638172702784036,-1.7730932956614247,2.5686673260364374
29,1.5205595662742093,4.6721619234947385,3.8515251939609496,-0.5131412628422374,0.32515460224834847,-0.78314077543241,42299737586.60368,39843581373.228264,28545612798.216187,0.2818008945781216,1.7699590784309431,-1.15881322691476,-0.48583751648460166,-0.5392756077470083,0.38295975086088957
30,2.773280768695758,3.6825876391578314,4.728957448183969,0.8867764712039763,-0.5436686163089843,0.3553498602743541,24427219975.226234,44127132342.83919,22464050708.510178,4.812261417209493,4.5022004857732,3.418492498121733,-2.9391619595741667,1.6257604851017813,0.2541372412514563
31,4.909777456812807,4.861013402485639,3.0468109694649486,-0.9951263356060989,0.05229455294731,-0.5990206027976994,17588521308.245987,28567039668.23269,12608698587.607998,0.6644911430519224,0.7063767801242925,-0.30513894834488914,0.1821170505023958,-1.3197298909144057,0.8673247304306403
32,3.809823958739746,0.49621057754249964,4.950123580774624,-0.5070886477728613,-0.19619611769414447,0.5473809227243269,42822640652.51279,33224089841.55887,44406678799.27254,4.672556797752698,2.8426950337446444,1.4784893904124823,-0.4671647252753029,0.7998357640777803,-0.2363277772419979
33,4.288349338672253,4.161656349323022,1.0611238813949582,0.2832365074138983,0.6487881994316043,-0.2926019424331825,38932597551.761505,31682322296.00612,18018357848.969532,6.2589099842976035,6.116196752716452,7.968357621989286,0.7188079215963212,0.5877364546445344,-1.1263996527610003
34,1.411248147611196,1.661951887965688,0.287150006495151,-0.16964214119816745,0.7661684046842401,-0.3840788787546916,14120180035.31297,13944517457.258217,14926739582.399487,1.3886834669120411,2.5428775302566606,1.1975156927832578,1.0537455366084922,-0.8962203329965691,0.01163744476787668
35,3.9806639625032525,1.953223068203025,1.5321784598238648,-0.08671579716716549,-0.3948347817559532,-0.24574391265787177,46202674393.24586,42073732729.34349,15661493963.000267,1.1495075964230734,-0.26764841164390685,0.22792437671590482,0.8519937002019886,-1.2155512686618148,-0.8102036737147731
36,4.223185425271836,0.6400224741629557,2.519098626867941,-0.5631182053533825,0.21100869759840113,0.8537860878604566,37181802539.08415,40311589322.88471,12098116054.642567,3.194747513767923,0.5739567630229694,4.162154560397372,0.8993223976157344,-0.7013049464354257,-0.6009333654238495
37,0.4402809994978496,4.439454100766139,1.8599612744663774,-0.002714070983633965,-0.9526191515159987,0.7598736160139772,43817384627.81511,25264841500.25625,21529167715.575188,3.6867289268629473,-1.5585639678294068,-1.3442671023885053,-0.330106097765329,-1.7619973826658961,2.376019467307675
38,2.300151742149138,2.953565083899644,3.383456291429685,0.9670881070676716,0.40395503265883037,-0.09147412671014643,23771901373.900124,42882546147.44794,44810126018.93325,5.818144339725183,5.85717768322195,6.819913676946864,-1.1259804359892023,1.4281717360402897,0.038746415944646985
39,0.8844790962177934,4.534389334225107,2.8306979119523112,0.3261659426873762,0.9579608426501269,0.06848337117355041,24539736672.891373,13151523965.940434,14988674027.41197,4.820294054084454,5.735677509019471,9.763187700953182,0.8016174690633351,-0.5720120706055472,0.6325105934928749
40,0.7608995505506277,2.3584484467505877,1.088141392673928,0.21948118808414074,0.5139914119189173,-0.11592899936948142,35110490298.246826,34593052992.43548,30470905829.63724,3.853194592010054,3.7751617340881922,3.121595665195749,3.1051722066725107,-2.074479035820328,-0.5023609357786131
41,4.745369114226278,1.075080448661296,0.5227374264711498,-0.9993744998980658,0.46230296734002874,-0.6759434771951334,38496077784.39344,13340974388.46761,12152026259.361502,-6.619133842583869,2.2863376413858987,1.8512685751357663,-0.8678540370825595,-0.8213778437816643,0.31669187430138857
42,4.944015631431538,1.0072345878335693,1.707670261327336,0.010986847153249046,0.6569899177757657,0.4231251732749943,28748422418.441887,23958660837.65223,22678910890.591633,4.637383170300644,7.2144122193738225,6.850079824975958,1.1826532258281042,1.173134058887371,-1.6073816103187606
