,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b,collision time
17,2.4929803403723967,1.7894857057530427,-0.10118517933369953,0.8965780650490918,33688928886.217754,47254109949.40033,2.194045818299259,2.193545753365188,3.82773269644068,-1.904470035496768,2317.0
18,1.6192675521402404,1.730424950497182,0.2945568944662218,-0.39226488175523166,10663381743.611212,18220350257.179993,1.672967196701291,1.672986047649956,-0.8434907038323871,0.273772587984179,1184.0
19,4.012686420859274,0.23848176248652098,-0.8172314484344163,-0.37221180667609177,42082450635.95788,17924208133.138893,0.8834722533387847,0.8829707064988034,1.0336330613191707,-4.71767096375585,29257.0
20,3.9194434193612486,2.359235696318863,0.9348799903395382,0.1167814940625509,36452379590.23638,47050460984.01023,3.744450985980921,3.7442362386842127,4.1358533593491975,-2.363175000838344,14856.0
21,1.223666128485756,2.870800503486339,0.39742606702481575,-0.12363421613019487,31118169737.461086,31189407906.940674,2.1711925042284217,2.171716234578851,-2.675818731385567,2.942591137266854,9026.0
22,3.1167501687496952,4.63165431848748,0.09508657368662488,-0.6798929609100663,37576086320.26565,24060507056.672813,3.5566630481474295,3.5570828783392576,-2.385196141701968,3.193646245582138,7294.0
23,1.4402055652473562,0.2123029964342643,0.982595105220639,-0.7856276167200369,41343863513.174774,17090675500.753853,2.87380002336689,2.8735823310250104,2.0902182259629374,-3.465066420995859,38517.0
24,1.6206297880320197,2.720105522675962,0.2415284459162168,-0.8406108478690413,29895246710.15153,10008299820.399342,1.881395989302532,1.8818103851371042,-1.1403543836708194,3.287136007877973,4984.0
25,2.7922380443916763,0.87008831610416,0.24979325649529716,0.18453037385782256,41118214139.613785,13785272638.146364,2.690930300666088,2.6904957839826413,1.5671547606095393,-3.744848017655551,16333.0
26,0.5891173706764491,2.3005792792892383,0.644136277045035,0.9458231202176932,31027890872.656315,29311840349.411503,2.6216792682917713,2.621778251258398,-1.8958461863568556,3.634507889015474,15193.0
27,2.908253868142294,1.336007671170667,0.8112398177563465,-0.127493907743361,29129888796.56921,16618907439.934555,3.7185554545006245,3.7181751786657236,2.2380630731471847,-2.6284527049516035,29376.0
28,1.0302278232829702,0.7820615779572693,0.4901918901738387,-0.7870209692723684,21077144716.280247,11425700557.676537,0.9550052810276065,0.955001855676906,0.8643791991945304,-1.4772893710576516,2916.0
29,2.987942888984811,0.5024291303067957,-0.979551562900278,0.37981391237543916,13291551768.895636,11451761735.608818,1.3750246868635885,1.3747861564585067,1.4392242248765958,-2.4275518312394158,13205.0
30,4.485257776045306,4.348899108541385,-0.10728454249666974,-0.7656214268202399,30800605358.987278,24115254890.876312,4.345050592081432,4.345008489104397,0.30016915345880124,-1.2860314555748336,2028.0
31,3.0840118865020894,4.345766434659827,0.8773723214087155,-0.5570870367718967,20172367766.694748,47879914937.167,3.9124463334772877,3.912539351052372,-4.267912660313128,1.6106816623152258,4493.0
32,2.5416711991077174,2.4098067571083517,0.6387330024484721,0.8147124470308589,11396574798.956295,48457358176.432556,2.543143336910597,2.5431039698315234,1.9743622616940106,0.5005888684972382,1386.0
33,4.782314040972138,2.2459333393860144,-0.20874969785306252,-0.6852287269920387,26210264583.675938,27555923227.279453,1.8255190583144196,1.8252768974867104,2.2956245659207113,-3.067305042441979,36583.0
34,2.802765036540994,2.452664052950179,-0.1700138884939708,-0.4234051452474019,48358035469.40929,48688380708.90346,2.586761868655932,2.5865943277031396,1.9924148561044837,-2.571162051696337,1362.0
35,0.8649564234210483,0.9455066562753062,-0.41981315864648594,0.78296290006258,30017073515.502647,32561557893.72962,0.955938678212708,0.9559903080491384,-0.6128836205472752,0.960946099375781,2384.0
36,1.6786244463365974,1.3628838957829843,-0.1650202601960138,0.7077132603815142,30806801927.6143,41909898184.36763,1.536807904300484,1.5367363355336427,2.498051409235576,-1.2498367455457526,1188.0
37,3.267027331699788,3.6975880301415205,0.24961912984082701,0.42693799620611683,23883228244.18701,22012137717.222206,3.552020495686937,3.5522073540633734,-1.3748164955138238,2.189454990545079,2349.0
38,0.39705286832960873,3.6021795558343683,-0.5571780997388991,-0.92960263305945,48981242286.45918,21378066043.945297,-0.17704550896948226,-0.177018197463998,-2.549584646013204,3.6353822245782634,23093.0
39,3.1539266635647674,3.2813021177452697,-0.3207551606171899,0.05360037730684253,49196937978.561104,35802482099.37152,3.183783847116978,3.1838273961030077,-0.8932882113534245,0.8403299931353867,1459.0
40,0.2192607587667672,4.546468841137489,-0.9380335535574578,0.7645574508649466,43626107556.20227,47986110772.005554,-3.4383055992578777,7.4304765311205925,-0.6195012426525925,0.4749668874270028,50000.0
41,2.8588808350542463,2.475336223729286,-0.9340084263066128,-0.571066108809777,19217981741.685272,31198713745.643333,2.4974549546341,2.49723454566409,1.4626938082524206,-2.0474019654584747,1752.0
42,0.8446491535965134,0.5968345820303328,0.5274480501982175,0.604949082870571,23527499159.24318,39606863789.03842,0.7708913697032261,0.7707670196211849,2.290331168860768,-0.44224898141181795,1418.0
43,1.8576236950485536,3.6403158869959737,0.6130306523258713,-0.4360215592511134,39121491163.53905,47195047556.264915,2.8608720590291057,2.861244525370089,-3.6279274384097473,3.0794448522162265,7286.0
44,2.934246090845367,3.9145150225055794,-0.8102193553211607,0.5570520197110678,32241685589.585464,42085614679.25049,3.452288292562282,3.4525123432157563,-3.391010035041657,2.5341893931876522,10233.0
45,3.4030254465652683,1.962303206765326,-0.29064027201516485,-0.8691242925383604,49630819247.773254,43306624355.51164,2.1505775979809694,2.1504795407096577,2.5982156636080993,-4.17984843480293,10375.0
46,4.577885948785436,2.411262554849359,0.041012810509333475,0.017231307653198247,35487344677.82936,27965762656.399006,3.677075920735286,3.6766146461979985,2.566334282699952,-3.1872925455679555,17650.0
47,2.4113411212076254,3.2838200804994044,0.5068949846727462,0.26305784700726886,36807429343.64789,35847749461.772766,2.994673303036584,2.9946764766757945,-2.3751663278154442,3.2222748052878045,3955.0
48,4.160104506923019,2.2650143990219647,-0.5247776586607411,0.16476538595396195,43336455476.4702,34402374910.65794,3.11653334868872,3.1159568236944226,2.5912780105356057,-3.760510357974259,9343.0
49,4.509261899953209,1.3816902404983578,-0.8935902776119908,0.2925837607313908,20254272394.420647,23116327125.25454,2.4036704158906796,2.403647071395015,2.395934203825662,-2.5896615256473283,16783.0
50,1.3465034775216163,3.135928486555528,-0.9094880840779598,-0.09928587109957632,34089466989.68209,28619020360.883286,0.8641550686872282,0.8643829558540523,-3.1438716422941724,2.5621939276362564,24067.0
51,2.2415990662657226,3.6092859718716657,-0.6912822101837224,0.8421622334005703,48586285204.7581,26585352586.137913,2.3684919794080854,2.3687006283406213,-2.3537894588804362,3.8804913689063185,23949.0
52,4.870022305991543,3.8097935005236936,0.06574038957157624,-0.3608026793139394,15954520677.788116,38922663965.916245,3.9251555266865386,3.9247046297781916,3.3296398043454154,-1.6986851723732452,8160.0
53,2.8685298280491485,4.198336819187176,0.987044019897624,0.2527586010650136,42341528431.336525,22211347037.04289,3.777101525775189,3.7772503708333462,-1.2033994531125778,4.428404699206614,6143.0
