,initial position of a,initial position of b,initial velocity of a,initial velocity of b,mass of a,mass of b,final position of a,final position of b,final velocity of a,final velocity of b,if collided
906,3.0,2.0,-0.8067618255014621,0.320050467493191,10000000000.0,10000000000.0,2.72056280304388,1.7927745100836172,0.364768949109146,-0.8514803071174147,0.0
907,3.0,2.0,0.31502256939934314,-0.8488512013664831,10000000000.0,10000000000.0,3.1070666907277547,1.3591046773051048,-0.036619021784690356,-0.49720961018244736,1.0001163807030795
908,3.0,2.0,0.8441298462319513,0.980626574868849,10000000000.0,10000000000.0,3.5480810779646923,3.276492867494,2.158332896885727,-0.333576475784941,0.0
909,3.0,2.0,-0.9226249623889526,-0.822337001744357,10000000000.0,10000000000.0,1.7335434917443946,1.521669040318708,0.4758052128388712,-2.2207671769721853,0.0
910,3.0,2.0,0.48238182714798294,-0.6228096505529788,10000000000.0,10000000000.0,3.2692801147861466,1.5902920618089034,0.11802953164020694,-0.25845735504520273,1.000110512473773
911,3.0,2.0,0.24822025622171884,-0.9015407171614722,10000000000.0,10000000000.0,3.03905379410532,1.3076257449549353,-0.10638826918831724,-0.5469321917514368,1.0001149694233415
912,3.0,2.0,0.05984985050503089,-0.9662405277138604,10000000000.0,10000000000.0,2.8393101130705816,1.254299209720585,-0.323344756255123,-0.5830459209537044,1.0001026023638249
913,3.0,2.0,-0.17224759675517798,0.716610180209956,10000000000.0,10000000000.0,3.179015915521475,2.3652922316749687,0.8644262345974234,-0.3200636511426468,0.0
914,3.0,2.0,0.8750293422566942,-0.39693554504252937,10000000000.0,10000000000.0,3.6758277133303823,1.8022660838837576,0.5444280576933292,-0.06633426047916911,1.000127189814733
915,3.0,2.0,-0.14334325460301978,0.19741386606214562,10000000000.0,10000000000.0,2.7776502495531923,2.2764149548447987,0.8575488641009699,-0.8034782526418431,0.0
916,3.0,2.0,0.6915308041571444,0.37426635110373785,10000000000.0,10000000000.0,3.3522661073364497,2.713531047924417,-0.10128405947244759,1.16708121473333,0.6387350594120327
917,3.0,2.0,0.7170921209315699,-0.7202637699231373,10000000000.0,10000000000.0,3.5297509097209643,1.4670774412874439,0.41388364507396097,-0.4170552940655281,1.0001437289150883
918,3.0,2.0,-0.7478838139562263,0.9474947379497258,10000000000.0,10000000000.0,3.2202183847137578,1.9793725781873417,0.8675290017775658,-0.6679180777840712,0.0
919,3.0,2.0,-0.16601151027629335,-0.1856126325446683,10000000000.0,10000000000.0,2.3417738019357217,2.306602055243346,-1.6662125448952065,1.3145884020742482,0.03517174669237555
920,3.0,2.0,0.6739153681208414,0.9867511745339526,10000000000.0,10000000000.0,3.568971531190729,3.091528944809791,1.696092657463304,-0.035426114808515666,0.0
921,3.0,2.0,0.7139752062994345,0.33882280637833007,10000000000.0,10000000000.0,3.391216458335675,2.661581554342068,-0.004987222179202448,1.0577852348569652,0.7296349039936074
922,3.0,2.0,0.7184617603203514,-0.7301871137006746,10000000000.0,10000000000.0,3.531871546574635,1.456403100045063,0.4169464400766713,-0.42867179345699685,1.000144858213405
923,3.0,2.0,-0.9026653907399913,0.19934772147051727,10000000000.0,10000000000.0,2.606200242219395,1.690552420278075,0.2529382894869586,-0.9562559587564323,0.0
924,3.0,2.0,-0.6328321100158307,-0.11560238948134782,10000000000.0,10000000000.0,2.437669109005935,1.8139712349468544,0.3110365009313853,-1.0594710004285606,0.0
925,3.0,2.0,0.980137544422865,0.3908223149223531,10000000000.0,10000000000.0,3.7030442558349415,2.6679156035102745,0.4321649790150515,0.9387948803301618,1.000058924848953
926,3.0,2.0,0.7571323292404171,0.4753154182693198,10000000000.0,10000000000.0,3.4063984092477986,2.826049338261929,-0.09181841076261986,1.3242661582723536,0.5803490709858696
927,3.0,2.0,0.14347901568525834,0.15600421996067548,10000000000.0,10000000000.0,2.6683649997151972,2.6310882876071537,1.6394759812461956,-1.339992745600265,0.0
928,3.0,2.0,-0.9898471615093531,-0.18599074374342783,10000000000.0,10000000000.0,2.2988603767068283,1.5254193018309006,0.009985266443214373,-1.185823171695993,0.0
929,3.0,2.0,0.5730030946026456,-0.9634590908146108,10000000000.0,10000000000.0,3.392025495056868,1.2175185087311704,0.28399096904467835,-0.6744469652566452,1.0001536395445447
930,3.0,2.0,-0.6202372198285482,-0.4574850591498629,10000000000.0,10000000000.0,2.1165614550597476,1.8058240381897417,0.6304279630935178,-1.7081502420719206,0.0
931,3.0,2.0,0.9280460209979033,-0.33204375168654265,10000000000.0,10000000000.0,3.727924877667998,1.868077391643365,0.5952683698165089,0.0007338994948525393,1.0001260023032714
932,3.0,2.0,0.84817165166164,-0.2621255954662416,10000000000.0,10000000000.0,3.635529650746781,1.9505164054486244,0.4849655129986045,0.10108054319679231,1.0001110230507158
